garment,category,method,shoulder_error_px,waist_error_px,hip_error_px,hem_error_px,silhouette_iou,flare_distortion
top_0,top,Resize,107.4220556718171,173.00144507463443,,127.06297651164952,0.7036483059114261,0.012820512820512808
top_0,top,Affine,38.600518131237564,46.048861143232216,,244.0870618862541,0.6152720430669524,0.024572649572649707
top_0,top,TPS,31.016124838541646,10.613328770452696,,0.0,0.7430886558627264,0.21575984990619138
top_0,top,TPS+silhouette,33.12099032335839,33.1510453934112,,0.0,0.7632040050062578,0.14256410256410254
top_0,top,Proposed,3.1622776601683795,77.10382610480494,,64.4980619863884,0.856101054824847,0.2948717948717949
top_1,top,Resize,108.11796734049139,173.5266506530732,,115.49239622284712,0.7653055570945759,0.0014727540500736325
top_1,top,Affine,38.600518131237564,47.18567177265058,,244.28361825716524,0.5542395318051975,0.05714285714285713
top_1,top,TPS,31.016124838541646,17.04578237854215,,0.0,0.7316979390956628,0.2244897959183674
top_1,top,TPS+silhouette,33.61547262794322,34.146629134550096,,0.0,0.7769452449567723,0.1428571428571429
top_1,top,Proposed,3.1622776601683795,79.01582063046806,,64.1248781675256,0.8974222694658517,0.15527950310559008
top_2,top,Resize,107.14242549623802,173.02600960549256,,159.0125781188394,0.647912885662432,0.00227272727272735
top_2,top,Affine,38.600518131237564,54.00925846556311,,201.01243717990388,0.6263826061578871,0.0072727272727271626
top_2,top,TPS,31.016124838541646,17.881159034772697,,0.0,0.6659587855906874,0.19393939393939388
top_2,top,TPS+silhouette,33.12099032335839,31.104636069406503,,0.0,0.6864322441532592,0.10909090909090902
top_2,top,Proposed,2.23606797749979,75.16648189186454,,80.45183160964103,0.8300473788781905,0.23820816864295116
top_3,top,Resize,108.41816305639033,151.0082778371197,,108.00462953040486,0.6607423189055842,0.0058823529411764506
top_3,top,Affine,38.600518131237564,119.03780911962384,,244.05327201303672,0.5079653917462061,0.05686274509803921
top_3,top,TPS,28.659802258506296,72.0,,0.0,0.6472257250945775,0.44180790960451977
top_3,top,TPS+silhouette,28.659802258506296,72.06247289678588,,0.0,0.6698370688942188,0.2515151515151514
top_3,top,Proposed,3.1622776601683795,62.07253821135398,,52.172789842982326,0.8425465024888656,0.38421052631578945
dress_0,dress,Resize,113.68593864141238,139.10966756197575,144.0225674145256,140.089257261219,0.6745658639547155,0.015685019206146022
dress_0,dress,Affine,0.0,49.864633518312715,69.41524340369776,98.36379765393418,0.5415512465373962,0.012223071046600515
dress_0,dress,TPS,18.027756377319946,0.0,2.0,0.0,0.8194581767846549,0.15520334928229662
dress_0,dress,TPS+silhouette,10.44030650891055,0.0,2.0,0.0,0.8648283038501561,0.15520334928229662
dress_0,dress,Proposed,9.055385138137417,71.00704190430693,92.01358559235524,45.764859697530994,0.7062876519606075,0.17951668584579974
dress_1,dress,Resize,113.86172269966053,168.04761230080004,190.1118084384924,224.0145083892194,0.6605556000320231,0.00952380952380949
dress_1,dress,Affine,0.0,71.47783797444349,101.57822803556323,149.18190371003246,0.6225226048040917,0.02342342342342345
dress_1,dress,TPS,11.40175425099138,0.0,0.0,0.0,0.8934665226781857,0.23157894736842105
dress_1,dress,TPS+silhouette,10.44030650891055,0.0,0.0,0.0,0.936593077748292,0.23157894736842105
dress_1,dress,Proposed,9.055385138137417,72.0173582655276,94.00531899844816,68.25660206777847,0.9012137795551813,0.01538461538461533
dress_2,dress,Resize,113.68593864141238,122.20065466273084,118.00423721205946,96.17692030835673,0.6227719170607494,0.002486922219363682
dress_2,dress,Affine,0.0,37.56149550672262,55.1247317584214,88.8466566787854,0.48392844156788595,0.012677918643540429
dress_2,dress,TPS,20.591260281974,0.0,1.0,0.5,0.7787216069082035,0.16211934518570673
dress_2,dress,TPS+silhouette,10.44030650891055,0.0,5.0,0.5,0.8285600636435959,0.16211934518570673
dress_2,dress,Proposed,9.055385138137417,14.035668847618199,33.38382475283487,93.31375805897015,0.5953426588592496,0.05474388311916913
bottom_0,bottom,Resize,,217.04722963571223,233.00214591286493,274.1322669071311,0.6673795117880242,0.00909842845326713
bottom_0,bottom,Affine,,,,,,
bottom_0,bottom,TPS,,12.103559819694368,0.0,0.0,0.7202843148966671,0.2529711375212224
bottom_0,bottom,TPS+silhouette,,12.103559819694368,0.0,0.0,0.7270356418429441,0.2529711375212224
bottom_0,bottom,Proposed,,1.4142135623730951,3.0,81.18804624258962,0.8579080266278981,0.066213921901528
bottom_1,bottom,Resize,,211.00947846009194,232.00538784595017,277.02256218599473,0.5532150776053215,0.013698630136986356
bottom_1,bottom,Affine,,,,,,
bottom_1,bottom,TPS,,12.103559819694368,1.0,0.0,0.6872686014570644,0.1578947368421053
bottom_1,bottom,TPS+silhouette,,12.103559819694368,1.0,0.0,0.693596231024254,0.1578947368421053
bottom_1,bottom,Proposed,,1.4142135623730951,6.0,76.05918747922567,0.7965529886321966,0.0
bottom_2,bottom,Resize,,211.15160430363773,232.0538730553748,275.00636024365804,0.705256479086339,0.0023255813953486893
bottom_2,bottom,Affine,,,,,,
bottom_2,bottom,TPS,,13.152946437965905,1.0,0.0,0.7343244215321904,0.4541353383458646
bottom_2,bottom,TPS+silhouette,,13.152946437965905,1.0,0.0,0.7423230974632844,0.4541353383458646
bottom_2,bottom,Proposed,,1.4142135623730951,9.0,105.07616285342742,0.8261833148646509,0.08195488721804504
